title,abstract
CCS INFOCAST: AN INFORMATION DISSEMINATION MANAGEMENT SYSTEM USING SMS BLAST,"This study is about the creation of the CCS InfoCast as an official announcement system for an establishment, particularly in a school, that would erase all doubts about the validity and reliability of information that one is receiving. This would serve as an efficient and effective way to receive important announcements without delay. It was designed to send information to cell phones which is more convenient to both recipients and the senders. This would help clear confusions during emergencies, update people about the future events and would make communication easier and faster which is necessary in real life. The study aimed to develop a system that would make the dissemination of announcement faster and reliable. The system that would send information about the latest updates of events and announcements on the students of the College of Computer Studies. The study specifically aimed to; (1) Design and develop an Office Management system that could handle office processes such as document storing. (2) Determine the effectiveness of the system based on the it’s Usability, Functionality, Reliability, Maintainability, and Portability. (3) Determine the overall performance of the system based on the above criteria. The Descriptive method of research was used in this study. Descriptive method of research was used to gather information relating to the present existing condition of the phenomenon. Descriptive research was used because the researcher wanted to gain a better understanding of research. Also, the descriptive approach was quick and practical in terms of the financial aspect, this method allowed a flexible approach, thus, when important new issues and questions arose during the duration of the study, further investigation may be conducted. The researchers used this kind of research to obtain first hand data from the respondents to formulate conclusions and recommendations for the study. The researchers used the Prototype model in developing the System. The prototyping phase was used to allow the users evaluate the developer’s proposals and try them out before implementation. It helped the researcher to understand the requirements which were user specific and may not have been considered by the developer during product design. The assessment of the proposed system involves five (5) criteria. These are the Usability, Functionality, Reliability, Maintainability, and Portability. The presentation of results is divided according to these criteria. The overall mean assessment of the respondents in the system. The Usability has 4.44 and an interpretation of Agree. While in Functionality, 4.26 and have an interpretation of Agree. In Reliability, 4.26 is the mean of the assessment and have an interpretation of Agree. In Maintainability, the mean is 4.39, and have an interpretation of Agree. In last criteria which is Portability, 4.39 is the mean and an interpretation of Agree. Based on findings, the following conclusions were drawn; (1) The study was able to develop the CCS InfoCast which would provide help and to the dean and instructors of the college when it comes to sending announcements. (2) The proponents determine that the programming languages, hardware, and database that will be used in the system are VB.NET for programming, Broadband and Sim card for hardware, and MySQL for the database. (3) The use of broadband and a Sim card is considered as an effective tool to be used by the users of the system. Based on the findings and conclusion drawn, the following were recommended; (1) The system can be improved by changing the broadband into a GSM modem. (2) A larger database storage in case the database gets full. (3) The future developers can add an inquiry feature to the system. (4) The future developers can add a templates of announcements stored in the database.
"
CCS ONLINE GRADING SYSTEM,"People nowadays are living in an information age dependent upon digital information. Digital information is electronic information, the result of computer processing. Every type of job relies on getting information, using it, managing it, and relying information to others. Computers enable the efficient processing and storage of information. CCS Online Grading System innovate for the CCS Dean, Faculty members and students the study proposed by Joana Marie E. Alaisa, Carmela Anne R Aquino, Myka Pauline B. Bacho developed computerized procedure of recording information including the class record of the students such as, Quiz, Recitation, Exam, Project and attendance where in the admin can monitor the accuracy of the developed system. It is proposed to minimize the effort and times of the user’s to less the work and have ease of submitting the class records of all the students to the Admin in an organized way. The system will help the College of Computer Studies to solve the problem such as security of information and error keeping of the class record. Since they were using the manual method submitting the grades to the admin, updating and adding new records it takes a lot of effort and time to gather data that they were seeking. The Dean of the CCS Department and Faculty members would benefit upon the completion of the study. The researchers used the RAD also known as (Rapid Application Development) this Software Methodology developed all required information of the system; RAD Application is a step by step process that the researchers followed during requirement phase, design phase, construction phase and cutover phase and design such as Requirements Gathering, Requirements Analysis, System Design, Coding, Testing and Acceptance. The study was evaluated by 8 respondents to determine the overall performance of the system using a checklist of questionnaires which contains the following criteria: system usability, functionality, reliability, portability, security, error- handling and user-friendliness The researchers used Adobe Dreamweaver and Adobe Photoshop CS6 to
design the user interface and program the primary and minor commands of the system. For the system’s database, the developers used MySQL database management to store, retrieve, update, and organized data without any redundancy."
CCS ONLINE THESIS MANAGEMENT SYSTEM,"The study is entitled “CCS Online Thesis Management System” that includes the collection of thesis from different students of CCS department. It was conducted to lessen the work and solve the problem of manual recording of data and information in the faculty. The system was developed to provide a secured and computerized recording of data and information. It would serve as a reference guide for individuals but most especially for the students who would make their own thesis. The general objectives of this system was to design and create a system that can be a great help to the CCS Online Thesis Management System. The researchers proposed and created a “CCS Online Thesis Management System” that secures all the thesis records and information of the author. The specific objectives are derived from the specific problems indicated above upon the study. Specifically, the study aimed to: 1.) Develop a CCS Online Thesis Management System and viewing of research study for College of Computer Studies 2.) Determine the acceptability of CCS Online Thesis Management System in terms of; Usability, Functionality, Reliability, Maintainability, Portability 3.) Determining a system that could provide a systematic and online viewing of research study.        In the development of the proposed system, the researchers decided to use PHP as the main programming language mainly because it could perform functions needed by the proponents for the development of the Web-Based. When it comes to the designing and editing of the pictures that we utilized in the software, Adobe Photoshop CS6 was used because for editorial purposes to provide quality pictures with different effects. The researchers also used Heidi SQL database to store the data that would input into the proposed system. Windows 8.1 pro was the platform used in developing the software. For implementation of the proposed system, the researchers required that the hardware processor must have at least a dual core processor (Intel Pentium Dual core or AMD equivalent) or higher to improve the performance. For the software requirements, it is recommend to install the system on a desktop running on Microsoft Windows 7 or higher. A browser with HTML5 compatibility (latest version of Google Chrome/Mozilla Firefox is recommended).The researchers used descriptive method of research by doing an interview and survey questionnaire since the present library system of LSPU is the subject of the design. They applied the Input-Process-Output (IPO) model in enhancing the required information. Inputs represent the data, process the task that is needed to change input to output and output is the outcome of the data that undergo the process. CCS Online Thesis Management System had eight (8) respondents which came from one (1) IT experts and seven (7) students of Laguna State Polytechnic University-Santa Cruz Main Campus. The findings of the study revealed that the perceptions of the respondents on the system are as follows: the system was usable, effectively functional, the system can fix handle error, the system was reliable and portable. The overall performance of the CCS Online Thesis Management System was acceptable as reflected  by the weighted mean of 4.81. CCS Online Thesis Management System proved that it makes the documents more accessible, reliable and serve as a back-up copy for the thesis project. The programming tools used are appropriate in developing the CCS Online Thesis Management System that gives the ability to manage and monitor the used  of information. The study proved that the system was acceptable to the school, faculty, and students as well in terms of system usability, system functionality, system reliability system maintainability and system portability. Based on the conclusions, the researchers recommended that the future researchers may use this study as reference guide in the development of their studies. They may upgrade this system by adding and changing features for further enhancements.  Since the respondents perceived that the system was usable, presentable, and user-friendly, secured and can minimize errors, it was intended to be used by LSPU-CCS Library respectively so as to answer the needs of every students in doing their research."
eFort: AN ELECTRONIC FACULTY PORTFOLIO MANAGEMENT SYSTEM,"The researchers conducted an observation and an interview and gathered information needed in the study. The slow monitoring of faculty portfolio were the cause of the problem that consumes time to have a report. In addition, there were times that the documents were mixed up with scratch papers. Sometimes the documents were misplaced and hard to find. Also, there were times that some important files like certificates were being washed away by the typhoon. That’s why the proponents developed a system entitled “eFort: An Electronic Faculty Portfolio Management System” which the general objective was to design and developed a system that would monitor the submitted files of the faculty. Specifically, the objectives aimed to; (1) create a system that assess and organize the content of the faculty members’ portfolio. (2) Develop a system that will allow to import and upload data. (3) Evaluate and implement a system that stores information of the faculty. The researchers used the Descriptive Method in research to obtain information concerning the current status of the phenomena to describe ""what exists"" with respect to variables or conditions in a situation. This method involved range from the survey which describes the status quo, the correlation study which investigates the relationship between variables, to developmental studies which seek to determine changes over time. The researchers used descriptive research to gain better understanding of the study which involved the interview, observation, and survey. The researchers used the Iterative Waterfall Model, because it was easy to use and it allows the researchers to go back to the previous phases for any possible changes, or for reviewing purposes. Also, going back to the previous phase can help as a verification of the proposed version of the system. If the application lacks any of the requirements or has any problem, then the phase will be looped back to previous iteration. The iterative waterfall model supports re-design, acceptance, and review of any new requirement. The assessment of the proposed system involved five (5) criteria. These are the Usability, Functionality, Reliability, Maintainability, and Portability. The presentation of results is divided according to these criteria. The overall mean assessment of the respondents in the system. The Usability have 4.50 and an interpretation of Strongly Agree. While in Functionality, 4.20 and have an interpretation of Agree. In Reliability, 4.20 mean assessment and have an interpretation of Agree. In Maintainability, have 4.37, and have an interpretation of Strongly Agree. In last criteria, Portability have 4.40 and an interpretation of Strongly Agree. Based on findings, the following conclusions were drawn; (1) on the evaluation gathered, the system organized the content of the faculty Portfolio. (2) The system easily uploads the requested files of the Associate Dean. (3) The system provides information of the faculty. (4) It also resulted that the system met the objectives in terms of Usability, Functionality, Reliability, Maintainability, and Portability. Based on the findings and conclusion drawn, the following were recommended; (1) Future researcher may use other programming tools and other way in organizing the content of the faculty portfolio. (2) Based on the survey that gathered, some of the evaluator recommend to improve the error-handling, security of the system and the functionality."
FEMS: A LAN-BASED STUDENT EVALUATION ON FACULTY PERFORMANCE,"The research study entitled “FEMS: a LAN-Based Student Evaluation on Faculty Performance” was developed for students, professors and the dean of College of Computer Studies (CCS). The study design for securing that data aims to lessen the chances of human error and at the same time maintained the confidentiality of every respondents. It will also provide system usability that is easier to use, and matching them more closely to user needs and requirements. The main objective of the study is to design and develop a “FEMS: a LAN-Based Student Evaluation on Faculty Performance”, The College of Computer Studies uses manual process of evaluation for teacher’s performance. Evaluators give the instructions verbally and pieces of papers were given to the students where they need to fill it up manually. The results are also computed one by one which consume a lot of time. Specifically, the objectives are: 1.) Design a system that easily compute an accurate result for ratings given by the students. 2.) Develop a system that can generate report for the result of faculty performance. 3.) Create a system that can easily print the faculty performance result. The researchers used descriptive research that attempts to describe, explain and interpret conditions of the present situation “what is’. The study used step by step procedure in order for a study to be accurate and efficient. It is the process of gathering data or information to solve a particular or specific manner. The researchers used IPO model in developing system, in which, it would provide the general structure and guide for the direction of the study. In developing the system, the researchers applied the Iterative Waterfall model a method used to develop a system. In order to develop the system, researchers used HeidiSQL powerful open source database server and PHP in coding the system. They also used Adobe Photoshop in enhancing the system design. To determine the overall performance of the developed system, the developer used a questionnaire which includes indicators such as system usability, system functionality, system reliability, system maintainability and system portability. They distributed questionnaires professors, students and experts in College of Computer Studies who served as the respondents of the evaluation system. After the data was gathered, the developers used a statistical tool to analyze and interpret the data given by the respondents. To determine the overall performance of the system the developers used weighted mean and verbal interpretation on the level of performance of the system as perceived by the respondents. In short it shows the overall performance of the system. System usability has an average mean of 4.83 with standard deviation of 0.39 from the respondents and verbally interpreted as Strongly Agree. The system functionality has an average mean of 4.80 with standard deviation of 0.42 from the respondents and verbally interpreted as Strongly Agree. The system reliability has an average mean of 4.83 with standard deviation of 0.18 from the respondents and verbally interpreted as Strongly Agree. The system maintainability has an average mean of 4.80 with standard deviation of 0.41 from the respondents and verbally interpreted as Agree. The system portability has an average mean of 4.60 with standard deviation of 0.51 from the respondents and verbally interpreted as Strongly Agree. Finally, the overall performance of the system as perceived by the respondents was usable, effectively functional, reliable, maintainability and portable. Reflected by the weighted mean of 4.38 with standard deviation of 0.64 and verbally interpreted as Strongly Agree. Based on the results and conclusions drawn, the following were recommended 1. Future researchers may use this study as reference and guide in developing a system. 2. Future researchers may enhance the features and some functions of system to resolve some issues of the system. 3. Since the respondents perceived that the system was usable, presentable, and
user-friendly, secured and can minimize errors, it was intended to be used by College of Computer Studies to use as a reference in doing research."
I-ANNOUNCE: A WEB-BASED ANNOUNCEMENT MANAGEMENT SYSTEM VIA SMS FOR THE COLLEGE OF COMPUTER STUDIES,"The researchers aimed to design and develop an announcement system that is not only reliable for emergency situations, at the same way, it will be used for other applications such as schedule changes, examination notices, commendations, meetings, college festivities, fundraising and other college events; rumor control, weather-related closings or calamity broadcasts and more making its uses endless and because the system is web-based, schools can help the environment by going paperless. It will be an ideal unified notification system for the college to update quickly and effectively inform students, parents, faculty members and staff quickly with the most accurate and consistent information. The primary objective of this study is to make an announcement system that will deliver information about the latest update of events and announcements on the web-based system and will be notified through SMS or Short Message Service in the College of Computer Studies in Laguna State Polytechnic University Sta. Cruz Main Campus. Specifically, the objectives are: (1) to design an announcement system that will spread accurate information, announcement, and updates about events and urgent situations to the students, parents, faculty members and staff of the College of Computer Studies instantaneously and efficiently. (2) to develop an announcement system that will lessen the tasks of the administrator in announcing various kinds of information particularly to the students depending upon their section, year and other sending categories. (3) to evaluate the system for user feedback using the following criteria: System Design and Content, Usability, Reliability, Maintainability, Functionality (4) to implement the application for the use of students and faculty members of College of Computer Studies and helpful reference for future researchers. The researchers come up with the idea of a less hassle, drawbacks, will heed to the use of latest technology and innovation, and very beneficial not just in the field of communication, but also for educational purposes because an announcement system through SMS is something that the College of Computer Studies can utilize for information dissemination. The method used in this study was the descriptive type of research and provide a survey questionnaires instrument that will be given out to the respondents for statistical and conclusion purposes and to know the respondents feedback on the system. The researchers used the prototype model which will determine the researchers to return on the proceeding phases until it meets the requirements needed by the client. The level of performance of the system as perceived by the respondents in terms of system design and content, usability, functionality, reliability and maintainability is based on ISO 9126. As a result of the assessment done by the researchers the project got an overall average of 3.86 which means that all the chosen respondents agreed with the proposed System Design and Content, basing on the website’s criteria. In the Usability criteria, the project got an overall weighted average of 3.96 which means all the chosen respondents fairly agreed with the websites usability purpose, basing on the website’s criteria. In the Reliability criteria, the project got an overall weighted average of 3.76 which means all the chosen respondents fairly agreed with the websites reliability purpose, basing on the website’s criteria. In the Maintainability criteria, the project got an overall weighted average of 3.9 which means all the chosen respondents fairly agreed with the websites Maintainability purpose, basing on the website’s criteria. In the Functionality criteria, the project got an overall weighted average of 3.81 which means all the chosen respondents fairly agreed with the websites functionality purpose, basing on the website’s criteria."
JESUS THE SAVIOUR HOSPITAL MANAGEMENT INFORMATION SYSTEM,"Jesus the Saviour Hospital encountered problems in storing and retrieving patient files, monitoring medical inventory and sometimes in calculating patient bills. That’s why the researchers proposed a system that would help them to solve these problems. This system would help them to store and locate patient record faster than their current record management. It would also help them to track the number of medical supplies on-hand and would notify them if one of their item is running of stock. This system would also help them to calculate patient bill faster and more efficient. The researchers cited several related studies and literature from local and foreign that helps to provide direction for the completion of the system and used this different studies and literature to make the system feasible. The researchers used System’s Development Life Cycle (SDLC) in creating the system. The waterfall model is a popular version of SDLC in software engineering. The researchers used waterfall model because it fits to the developer’s way of creating the system. The SDLC is a set of instruction which define a systematic study of system analysis, designing, development, testing and implementation which met the criteria of the system consistency and effectiveness.The researchers used descriptive research to gather information about the proposed system. We interviewed the secretary of the hospital and asked the different problem they encountered in offering service to their client. We also asked some clients to get their point of view regarding the process of the hospital. The researchers also used survey for the evaluation of the system. The researchers let the respondents use the system and let them evaluate it. The study was evaluated by (15) respondents (2) System user and (13) IT Experts were chosen to purposely determine the overall performance of the system using the checklist of the questionnaire which contains the standard such as: Usability, Reliability, Maintainability, Functionality and Portability. The system was created using PHP as a programming language, HTML and CSS for the interface of the system and AJAX and JQuery for the other designs of the system. The developers also used Microsoft Word 2010 for the documentation and Microsoft PowerPoint for the presentation. After the survey, the researchers computed and tabulated the result by computing the overall performance of the system. The results based on usability of the system, the respondents “agree” with a mean of 4.03. Based on the functionality of the system, the respondents “strongly agree” with a mean of 4.24. In the reliability of the system, the respondents also “agree” with a mean of 3.97. Based on the maintainability of the system, the respondents “agree” with a mean of 4.10. And last on the portability of the system, the respondents also “agree” with a mean of 4.13. The system helps them to store and retrieve patient information easier and faster and protect this confidential information of hospital from unauthorized person. This also helps to calculate a patient bills accurately and help them in monitoring their medical inventory. The researchers recommendation to the next developers was: add picture of every patient in the patient module, another is the system must have module where patient can pay thru banks, the system must be automatically log out when idle and the system must monitor not only the medical supplies, but also the tools and equipment of the hospital. After the development of the system, the researchers came up with different finding like the system solve the problems that the hospital encountered in their current system, and the system improved  the different transactions that the hospital can provide and lastly, it proved that the system can be time consuming and easy to use."
LSPU CCS PAYMENT TRANSACTION MANAGEMENT SYSTEM,"The study entitled “LSPU CCS Payment Transaction Management System” includes the collection of different transactions from College of Computer Studies. It was conducted to lessen the work and solve the problem of manual recording of transaction. The system was developed to provide a secured computerized recording of transaction. The main objective of the study is to develop and evaluate a system that can efficiently handle transaction with fast retrieval and compact storage of data. Specifically, it aimed to develop a user intuitive software specifically for the system user, to determine the effectiveness of the developed system in terms of Usability, Functionality, Reliability, Maintainability, Portability, and to determine the overall performance of the system based on the above criteria. The researchers used Descriptive research to gather information about the proposed study. Descriptive research is used by the researchers because this method is used in different fields of study because of the applicability to solve varied kinds of problem. Researchers considered the descriptive method which involves the description, recording, analysis and interpretation; they also considered things such as survey, distribution of questionnaires, gathering of related studies and literature, guidance from a mentor and internet search. The researchers personally interviewed the user/secretary and asked what were the problems that they encountered in terms of payment. At the same time the researcher interviewed some students to get their point of view regarding the process of the university. Survey is one of the methods used by the researchers for the evaluation of the system. To test the efficiency, survey is very useful. Actual testing of the system will be done wherein different suggestions and comments has been gathered. The researchers will distribute questionnaires to the respondents for final evaluation. Software criteria such as usability, functionality, reliability, maintainability, and portability will be used for the evaluation of the system. For the assessment of the respondents, the researchers gathered some specifications and information in order to finish the study well effective, well designed and usable. The researchers used waterfall model because it fits to the developer’s way of creating the system. The developed system was concluded that the system has a correct computation and provides instructions that are easy to follow, the methods used including the programming language make it easier to the researchers design and develop the system, and the LSPU CCS Payment Transaction Management System protects the confidential information of the department. The system can help the user in monitoring and managing the transaction records of the students. The developed system recommended to determined how much the payments of the students, the researchers recommended enhancements on its design can be made such as banner, and pictures of the users, the Payment Transaction Management System should be always updated in every change for improvement. Base on the survey that we conducted, we gathered data that the respondents recommends to enhance the system security."
OMS: OFFICE MANAGEMENT SOLUTIONS FOR COLLEGE OF COMPUTER STUDIES ,"Document management system provide an easier way of sorting, editing and tracking or searching documents. It also provides a great way to organized all the documents and transform it into digital forms. The College of Computer Studies is located in Laguna State Polytechnic University Santa Cruz Campus. It offers different programs related to technology. Some of the programs the college offers are Bachelor of Science in Information Technology, Associate in Computer Technology, Bachelor of Science in Computer Electronics and Associate in Computer Electronics. The college population as of this year is more than a thousand students and yearly it always increases The researchers had an interview with the Associate Dean of the College of Computer Studies in order to get information needed in developing a system. The researchers asked them about how they organized and manages all the documents they have. All the gathered data were analyzed to identify what would be the function included in the system. The study entitled OMS: Office Management Solutions for College of Computer Studies aimed to provide the College of Computer Studies a well organize and manageable documents. It would also provide an easy way of tracking or searching of every documents and security. Specifically, it aimed to, (1) design and develop a software that can handle document management system, (2) design and develop a software that will serve as a backup of CCS documents, (3) design and develop a software that provide a security that cannot be access by unauthorized users, (4) Implement and evaluate the developed software. The study used the System Development Life Cycle. It is a step by step process and consists of five different phases. The five phases are planning phase, analysis phase, design phase, implementation phase and maintenance phase. The researchers also used the software Notepad ++ for the developing the system, php as the programming language and Xampp for the database server of the system. The study used a survey type questionnaire as a tool in evaluating the performance of the Office Management Solutions for CCS. The different criteria includes usability, functionality, reliability, maintainability and portability. The usability showed a 4.11 total mean. This means that the most of the respondents agreed that the system provides intuitive interface and can be operated by users in a given environment. The functionality showed a 4.00 total mean. The result means that the most of the respondents agreed that the system can sustain the user’s attention and provide accurate output. The reliability showed a 3.89 total mean and the result means that most of the respondents agreed that the system provides a fault tolerance software. The maintainability showed a 4.00 total mean and the result means that most of the respondents agreed that the system has the ability to trace the root cause of possible failure. The portability showed a 4.33 total mean and the result means that most of the respondents agreed that the system provides less effort required to install the application that even non-IT personnel can sustain its operation. Most of the respondents agreed to all the given criteria. Therefore, the developed office management system met its objectives, requirements and was able to perform the plan function."
PREMIUM BIKES LENDING MANAGEMENT SYSTEM,"The researchers conducted an observation and an interview and gathered information needed in the study. The slow monitoring of individual accountswere the cause of the problem that consumes time to have a report. In addition, there were times that the documents were mixed up with scratch papers. Sometimes the Information Account paperswere misplaced and hard to find. That’s why the proponents developed a system entitled “PremiumBikes Lending Management System” which the general objective was to create a system for PREMIUMBIKES Lending Corporation that would turn their manual managing of accounts into an automated one so that every transaction would be fast and their information would be secured. Specifically, the objectives aimed to; (1) create a module that will store the record of stock and delivery reports of the products in the branch in an organize way.(2) create a module that will automatically deduct the over payment to the clients remaining balance.(3) develop a module that will lessen their manual task that will fill up an application form and searching account of the customers. The researchers used the descriptive researchto gather information about the proposed study. The idea behind this type of research is to study frequencies, averages, and other statistical calculations. Researchers considered the descriptive method which involves the description, recording, analysis and interpretation; they also considered things such as survey, distribution of questionnaires, gathering of related studies and literature, guidance from a mentor and internet search.The researchers used this type of research method for the research study since the researchers aimed to develop a system that would improve the present process of lending management system. The researchers personally interviewed the secretary, cashier and the branch manager and asked what are the problems they encountered in offering service to their client. At the same time the researcher ask to get some sample of form and reports regarding the process of the lending system. The Researchers used the Rapid application development (RAD) is a suite of software development methodology techniques used to expedite software Web Base System development. RAD uses predefined prototyping techniques and tools to produce software Web Base System. The assessment of the proposed system involved five (5) criteria. These are the Usability, Functionality, Reliability, Maintainability, and Portability. The presentation of results is divided according to these criteria. The overall mean assessment of the respondents in the system. The Usability have4.24 and an interpretation of Strongly Agree. While in Functionality, 4.28 and have an interpretation of Agree. In Reliability, 4.24 mean assessment and have an interpretation of Agree. In Maintainability, have 4.43, and have an interpretation of Strongly Agree. In last criteria, Portability have 4.18 and an interpretation of Strongly Agree. Based on findings, the following conclusions were drawn; (1) The system can store the records of stock and delivery of the products in Premiumbikes.(2) The system helps in computing customer payments accurately in lesser time.(3) The system helps the user to save the customer information faster.(4) It also resulted that the system met the objectives in terms of Usability, Functionality, Reliability, Maintainability, and Portability. Based on the findings and conclusion drawn, the following were recommended; (1) They system proved that it can consume lesser time in saving application form.(2)The system must have a larger database."
